Tweet,For guns?,Location,For guns,Against guns,Makes no sense
 ...But it’s the gun advocates that are the sociopaths. Right. https://t.co/2kfLGZLmkz ,0.0, Michigan ,0,1,0
 You know what I think is the core of this debate? How many people are SO SURE they are going to be murdered by a predator. I have lived my 28 years of life on this earth constantly thinking that someone is going to kick down my door and murder me with a machine gun. #2A ,0.0, Illinois ,0,1,0
" Hey @davidhogg111 how come you haven’t said anything about the YouTube shooting? Is it because a handgun was used? You know, I though California was super safe with all their gun laws and restrictions ",-2.0, Alabama ,0,0,1
 I used to worry about getting murdered before I would go to bed every night. My dad would encourage me to get a gun to protect myself &amp; for a moment I thought that was a good idea. #2A ,0.0, Illinois ,0,1,0
 Gun free zone at UTube.  Inviting target for shooter. https://t.co/PP9k2zJuiw ,-2.0, Utah ,0,0,1
 Is there going to be a Youtube showing how well 'Gun Free Zones' work at Youtube? ,-2.0, Washington ,0,0,1
 You know why kids shoot up schools now a days. Cuz they didn't grow up in Mr Roger's neighborhood! ,-2.0, Illinois ,0,0,1
 @MarkDice they are still trying to figure out how to spin this anti gun and anti NRA. fuck them. They have showed their cards. WE ARE NOT BUYING IT @FBI @CIA @OBAMALEFTOVERS You have failed. #Qanon8chan #GreatAwakening ,0.0, Colorado ,0,1,0
 An NRA member no doubt! ? https://t.co/lur9bWVDXa ,0.0, California ,0,1,0
 Ft Hood as other military bases are in fact “Gun Free Zones”. Yes that’s stupidity on steroids.  Apology for ignorance accepted in advance. https://t.co/EptHt1NKIE ,-2.0, Ohio ,0,0,1
 It’s same dog and pony show with Trump! Thoughts and prayers! Words solve nothing. It takes action which Trump has done nothing to improve gun regulations and probably never will!  NRA bought Trump with campaign contributions! https://t.co/5FQvNpzo0S via rawstory ,0.0, Georgia ,0,1,0
 all I’m saying is that if I have an open basket to myself at the y and you come and shoot at the same basket you’re literally worse than hitter ,-2.0, Kansas ,0,0,1
" YouTube banned Guns and Gun Videos, but they forgot to ban Shootings! @CNN @ABC @YouTube @CBSNews @NBCNews @MSNBC @nytimes @latimes @thehill @seanhannity @AC360 @ananavarro @RealJamesWoods @CNNPolitics @politico @thehill @TheView @BrookeBCNN @donlemon @TheDemocrats @NRA @DNC https://t.co/xC673kEEBS ",-2.0, Texas ,0,0,1
 @gorbr28 @USATODAY Californistan has some of the most restrictive gun laws in the country. Try harder. ,0.0, Arizona ,0,1,0
 Terrible... Poor Gun America! https://t.co/ryeurJRvmY ,0.0, New York ,0,1,0
 Its terrible how often gun violence exists in America. We must do something to end the normalcy of gun violence in our country. What does our reaction to violence do for those who survived? We hope ease the trama. Prevention is a must! ,0.0, New York ,0,1,0
 WE NEED GUN CONTROL ,0.0, California ,0,1,0
" I’m in disbelief. This fully semi-automatic tactical military assault rifle chambered it 420.069 caliber win mag just tried to walk into my room and shoot me. Unbelievable. Look at the tactical laser beam scope that locks on to people from over 50,000 yards away! Ban these! https://t.co/pJG9DOcgwY ",0.0, Kentucky ,0,1,0
" @NotSayi66386935 You pointed out people need assault rifles to protect their homes. I refuted your point by saying it’s a highly uncommon situation. Gun violence, homicides etc are as well but they occur in the home, in public at PUBLIC SCHOOLS. They are a becoming more frequent ",0.0, Florida ,0,1,0
" @kurteichenwald So protecting kids is useless while we still protect banks, politicians, and celebrities?  Dude if we ended all Gun sales today. Still 600 million legal guns.  So using kids to sell gun control ONLY is doing zero to protect them and you're smart enough to know that. ",1.0, Washington ,1,0,0
 Anyone wanna shoot up a school with me ,-2.0, Georgia ,0,0,1
 @shannonrwatts @shannoncoulter @NRA Reminder.  Guns are the thing that shoot people. Having one more gun does not negate this basic fact. ,0.0, Texas ,0,1,0
" @NotSayi66386935 And within those homes that have guns to “protect”, on average 50 spouses “women” are shot and killed by their male partner. And the presence of a gun in the home raises the chances of a women being killed 5 times more. ",0.0, Florida ,0,1,0
 #BoycottNRA #NeverAgain #BanAssaultWeapons #BanBumpStocks #NoGunsforTeachers #RaiseMinimumAge #BoycottNRASponsors ? https://t.co/FXGfA39Nrk ,0.0, Pennsylvania ,0,1,0
" @samfoof @NancyPelosi That is really going to help. NRA needs to join in asking responsible gun owners to set the example. Background checks, licensing and training when purchasing a gun. No loopholes. ",0.0, Florida ,0,1,0
 Where did she get the gun? https://t.co/s0l6xj2kZA ,-2.0, California ,0,0,1
 Photo of NRA bots calling me a spic the minute I demand gun control https://t.co/ts2RplbrVb ,0.0, Michigan ,0,1,0
 @realdotsevenjay @erieboy4sho @honeyyyyyy_B @queen_chachi_ Not only that you see guy in the back turn the safety off in the video. And see him nod and she shoots a millisecond later. Also if there was no clip or bullet the gun would not have sounded the way it did when she cocked it back ,-2.0, New York ,0,0,1
" @EvieJ_93 I hear you cuz, I really do, I also agree with you.. but there’s millions of guns here and it only takes one bullet to do damage.. I can’t see the laws changing a crazy person’s mind from finding a gun and causing another tragedy. ",0.0, Pennsylvania ,0,1,0
 #YouTubeHQ #youtubeshooter https://t.co/ZI4Rb9FaPw ,-2.0, Connecticut ,0,0,1
" Growing up during the gun recall in Australia, gun control has always made sense to me. However until today I've had the privilege of being able to distance myself from the problem in America. Something needs to be done. No handguns. No semi-automatics. Enough. ",0.0, California ,0,1,0
 @BreitbartNews @KendraVondersa3 Don't  be a victim you are the person responsible for your safety. Buy a gun get trained and carry.This is the only way to end these active shooter situations quickly with less loss of life.#NRA #JoinTheNRA ,1.0, California ,1,0,0
" Why oh why do they find it necessary to bring  out the black haired  idiot box when this kind of situations happen. At first when I heard the gunman was a female,I quickly thought it was @DLoesch  but it wasn't. https://t.co/YJ2de3pTkY ",-2.0, Texas ,0,0,1
 @JerashkimBrown @MoveOn @marcorubio @realDonaldTrump @NRA @thehill @politico @rollcall @cspan @GOPLeader LiberLou blames the GUN instead of Law enforcement and Mental illness. Your wasting your time lunnyloulou ,1.0, California ,1,0,0
" Stand down everyone. It’s ok. She “chose” a hand gun, not an AR-15. #YouTubeshooter https://t.co/besOn727SX ",-2.0, New York ,0,0,1
 Ok but just for a second can we ponder who the fuck needs a gun at a gay wedding? Like it’s gonna be a fucking party and y’all need a deadly weapon? Like I know we dramatic but take it down a notch Gary. https://t.co/g6QgbQrzMp ,0.0, Michigan ,0,1,0
 Fuck sending love.  #GunControlNow https://t.co/AMcbmztG6v ,0.0, California ,0,1,0
 GuN cONtRoL iS sTILl NoT a NEcESsiTY iN AmEriCA. LaNd Of tHE FrEe aNd HOmE oF tHe BrAVe... Am I RiGht!? ,0.0, New York ,0,1,0
" @GirlTrumps @GeorgiaDirtRoad Not the same situation by any means, but we viewed our stillborn grandson, and it was a freak of nature thing. Hard enough to see, but to see one who was murdered? Didn't you want to just shoot this man? That's why ppl go haywire! ",-2.0, Alabama ,0,0,1
 @quinncy With a gun. ,-2.0, Arizona ,0,0,1
 California look at your strictest gun laws and tell me. Do you really think more &amp; more are going to prevent other incidents from happening? These States are a joke. Including my own. I saw 1st hand weapons ban &amp; more laws don’t work. If not a gun. A hammer. If not that? A/? ,1.0, Connecticut ,1,0,0
" Besides working together to end gun violence, school administrators have made parents pay for see through backpacks. This does not prevent gun violence. This is the cheap way out. #NeverAgain #Enough https://t.co/s92V8Q7Mr7 ",0.0, Alabama ,0,1,0
" As a gun violence survivor, I support changes in regulation. I hope this vid continues the effort. Thanks @Sarahchadwickk @Emma4Change @1SecondEveryday @CesarKuriyama &amp; @Lin_Manuel for inspiration.    Gun Violence Anthem https://t.co/fuFjOJmVDZ via @YouTube #enough #neveragain ",0.0, District of Columbia ,0,1,0
" @JordanSchachtel Uhm, if she had used lab test animals to attack her victims, yes absolutely. Also, nobody is against NRA members. We are against gun nuts, which most NRA members aren't. Most NRA members want #guncontrol ",0.0, California ,0,1,0
 @President45US @DukeofEarlDD Tuff gun laws there this must be fake news.  Surely with strick gunmlaw even lawless people don't have them right? ,-2.0, Alabama ,0,0,1
" I like that righting nut jobs on Twitter seem to think gun control activists won’t call for gun control if an active shooter wasn’t a white male. The common denominator is guns, idiots. ",0.0, Kansas ,0,1,0
" @realDonaldTrump No more thoughts and prayers. If you really feel bad about it, do something for gun control. ",0.0, Illinois ,0,1,0
" @RealJack @village_jordan Gun Control is working as planned in London. They have more murders than NYC (and that is NOT counting the reoccurring Terrorist Murders in London). Most murders are now done by knife in London. Personally, I would prefer to be shot. ",1.0, Florida ,1,0,0
" @Neely916 @CollinRugg I’m not an expert in guns but couldn’t you use a hunting rifle for hunting, a handgun for protection? The gun you use for competition shooting could be stored at a gun range? ",-2.0, Florida ,0,0,1
" @MerriamWebster Your shameless re-definition of ""assault rifle"" is obscene, politically motivated and completely unacceptable. Use the correct definition please. Eliminate this #Liberal LIE: https://t.co/V0UXj8EFgW @NRA @GOA RT ",-2.0, Missouri ,0,0,1
" If you only expressed outrage after you found out the name of the shooter at YouTube HQ is Nasim Aghdam &amp; aren’t outraged at America’s lax gun laws that lead thousands of innocent deaths a year, you’re apart of the problem. ",-2.0, California ,0,0,1
 Two tweets on my TL of why we need gun control!!! https://t.co/GnLJhAuzYh ,0.0, California ,0,1,0
 Lol @ California’s gun control ,1.0, Texas ,1,0,0
